id_right,id_mapped
1781133,0
2426736,1
2224122,2
219642,3
1728654,4
1889917,5
1518473,6
1459418,7
1102956,8
931408,9
1043905,10
488327,11
1069841,12
1601336,13
1415191,14
1531137,15
912052,16
935016,17
1671729,18
1946935,19
752649,20
1634473,21
867034,22
1064413,23
1612321,24
2222141,25
1784663,26
2285161,27
1445565,28
1469713,29
1466972,30
963723,31
897432,32
1218994,33
839556,34
2170795,35
1024270,36
1336432,37
2087053,38
421312,39
547088,40
636479,41
2166683,42
833090,43
2363592,44
2289234,45
1370298,46
1481866,47
1763284,48
1876607,49
729433,50
352078,51
2354924,52
2416742,53
1283366,54
1602376,55
1301443,56
1962423,57
2436983,58
79923,59
490168,60
502902,61
1738343,62
52687,63
503290,64
443815,65
2259227,66
1375558,67
488452,68
341885,69
2329563,70
328166,71
2305145,72
2243061,73
705605,74
1548811,75
1316555,76
1924943,77
350851,78
526876,79
759572,80
747365,81
1416073,82
2161217,83
1760290,84
1915270,85
1051703,86
1052256,87
51110,88
890294,89
1500765,90
1020455,91
495371,92
452464,93
1222862,94
1008941,95
1313953,96
414617,97
578027,98
1834363,99
247020,100
42650,101
404210,102
670777,103
1922332,104
1682663,105
827043,106
2124360,107
608864,108
867166,109
1146005,110
1716457,111
1580743,112
22915,113
581042,114
396072,115
1019762,116
275841,117
718113,118
1790396,119
2384572,120
2431285,121
73954,122
1749729,123
114691,124
1104339,125
268946,126
153113,127
134078,128
464565,129
2360440,130
495715,131
911987,132
2268633,133
450461,134
316757,135
849228,136
2194712,137
1703458,138
1939650,139
445183,140
401713,141
1149390,142
1377678,143
905625,144
1779127,145
1206213,146
593339,147
1664601,148
2045297,149
1953838,150
2090914,151
691051,152
284438,153
654194,154
1265726,155
1375028,156
378122,157
2162101,158
977792,159
1834965,160
263667,161
46367,162
91316,163
1265402,164
2260142,165
1215949,166
623528,167
771594,168
2244237,169
1807346,170
1321756,171
1176208,172
1637068,173
662640,174
2053593,175
89775,176
872240,177
1037188,178
1350565,179
1891236,180
2151546,181
491822,182
1604560,183
856805,184
2332243,185
985747,186
1916645,187
803876,188
2061324,189
1181449,190
1870723,191
901697,192
1139510,193
922548,194
2126952,195
171163,196
1397238,197
2200542,198
46623,199
2302994,200
908830,201
1108217,202
1762061,203
778753,204
546558,205
243476,206
967012,207
1993152,208
1391104,209
1271541,210
1581840,211
1436736,212
816566,213
1952483,214
1398534,215
1827655,216
799015,217
525690,218
267100,219
1244147,220
2431816,221
434489,222
2195412,223
1297422,224
433384,225
1900623,226
848515,227
1109677,228
2287975,229
1494638,230
408808,231
1463765,232
1178270,233
1099386,234
2273701,235
1212855,236
191802,237
779232,238
1956103,239
1907561,240
1050909,241
1092146,242
1976572,243
1248392,244
616195,245
2000404,246
2423357,247
659650,248
1547506,249
1529752,250
2005282,251
244754,252
185103,253
975603,254
1872273,255
1414512,256
2253053,257
542284,258
1516646,259
505354,260
1200601,261
400449,262
1945483,263
817499,264
2383527,265
695229,266
786119,267
506869,268
1223626,269
244051,270
1650199,271
1066802,272
720765,273
1699108,274
799610,275
1614679,276
292346,277
2228498,278
706641,279
163689,280
275855,281
2013685,282
1303464,283
1655861,284
1192671,285
1491150,286
1200714,287
1837262,288
1176211,289
1049101,290
353368,291
205080,292
1945843,293
2116027,294
2354390,295
1219364,296
1438170,297
648610,298
1473407,299
99657,300
1709368,301
1725791,302
1080344,303
934301,304
46682,305
